aileron,elevator,rudder,flaps,slats,speedbrake,throttle,throttle,engine-pump,engine-pump,electric-pump,electric-pump,external-power,APU-generator,latitude-deg,longitude-deg,altitude-ft,roll-deg,pitch-deg,heading-deg,side-slip-deg,airspeed-kt,glideslope,vertical-speed-fps,airspeed-indicator_indicated-speed-kt,altimeter_indicated-altitude-ft,altimeter_pressure-alt-ft,attitude-indicator_indicated-pitch-deg,attitude-indicator_indicated-roll-deg,attitude-indicator_internal-pitch-deg,attitude-indicator_internal-roll-deg,encoder_indicated-altitude-ft,encoder_pressure-alt-ft,gps_indicated-altitude-ft,gps_indicated-ground-speed-kt,gps_indicated-vertical-speed,indicated-heading-deg,magnetic-compass_indicated-heading-deg,slip-skid-ball_indicated-slip-skid,turn-indicator_indicated-turn-rate,vertical-speed-indicator_indicated-speed-fpm,engine_rpm
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.535715,4.010609,66.847298,-2.200119,2.263797,-0.121312,-0.000011,7.439578,2061.004395,2062.197754,12,40,0,0,2060.000244,2060,2131.875,0,-0.000469,246.889969,54.904453,0.064829,-2.133729,12245.68164,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.535841,4.010598,66.84729,-1.256469,2.247604,-0.126935,-0.000011,7.392879,2058.147461,2059.341064,12,40,0,0,2060.000244,2060,2131.875,0,-0.000268,246.889969,56.758167,0.064978,-2.151628,12128.82422,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.535926,4.010592,66.847282,-0.61988,2.237151,-0.12347,-0.000011,7.405653,2056.231689,2057.425293,12,40,0,0,2060.000244,2060,2131.875,0,-0.000368,246.889969,57.977386,0.065069,-2.163073,12050.78125,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.536097,4.010585,66.847267,0.670994,2.217083,-0.12101,-0.000011,7.300604,2052.331055,2053.524414,12,40,0,0,2060.000244,2060,2131.875,0,-0.000402,246.889969,60.371983,0.065239,-2.184846,11894.14648,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.536221,4.010574,66.84726,1.654301,2.202777,-0.099173,-0.000009,7.381644,2049.485352,2050.678711,12,40,0,0,2050.000244,2050,2131.875,0,-0.000268,246.889969,62.126179,0.065354,-2.200248,11776.89551,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.536344,4.010551,66.847244,2.650143,2.189127,-0.113453,-0.00001,7.405838,2046.614014,2047.807373,12,40,0,0,2050.000244,2050,2131.875,0,-0.000268,246.889969,63.841515,0.065458,-2.214896,11659.35547,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.536468,4.01052,66.847237,3.658244,2.176149,-0.109286,-0.00001,7.414248,2043.733521,2044.92688,12,40,0,0,2050.000244,2050,2131.875,0,-0.000268,246.889969,65.515358,0.065556,-2.228829,11541.60742,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.53659,4.010484,66.847229,4.67817,2.163852,-0.104962,-0.00001,7.417123,2040.849731,2042.043213,12,40,0,0,2040.000122,2040,2131.875,0,-0.000234,246.889969,67.145218,0.065646,-2.242081,11423.67871,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.536712,4.010445,66.847221,5.709451,2.15225,-0.100704,-0.000009,7.418028,2037.964844,2039.158203,12,40,0,0,2040.000122,2040,2131.875,0,-0.000234,246.889969,68.728729,0.065729,-2.254686,11305.5752,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.536834,4.010406,66.847214,6.751617,2.141352,-0.098393,-0.000009,7.418214,2035.079468,2036.272949,12,40,0,0,2040.000122,2040,2131.875,0,-0.000134,246.889969,70.26368,0.065806,-2.266674,11187.29785,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.536954,4.010367,66.847198,7.804163,2.131171,-0.077664,-0.000007,7.418123,2032.19397,2033.387451,12,40,0,0,2040.000122,2040,2131.875,0,-0.000134,246.889969,71.747986,0.065879,-2.278077,11068.84473,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.537072,4.010332,66.847191,8.866437,2.121716,-0.094935,-0.000008,7.41791,2029.30835,2030.501831,12,40,0,0,2030.000122,2030,2131.875,0,-0.000134,246.889969,73.179718,0.065945,-2.288922,10950.21191,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.537152,4.01031,66.847183,9.579768,2.11582,-0.092007,-0.000008,7.417728,2027.384644,2028.578003,12,40,0,0,2030.000122,2030,2131.875,0,-0.000201,246.889969,74.104103,0.065987,-2.295856,10871.02148,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.537314,4.010271,66.847176,11.017953,2.105021,-0.112019,-0.00001,7.290635,2023.47876,2024.672241,12,40,0,0,2030.000122,2030,2131.875,0,-0.000167,246.889969,75.878403,0.066068,-2.309049,10712.06836,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.537412,4.010252,66.847168,11.924003,2.09895,-0.085688,-0.000007,7.374569,2021.107788,2022.30127,12,40,0,0,2020.000122,2020,2131.875,0,-0.000067,246.889969,76.935623,0.066105,-2.316858,10612.94531,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.537551,4.010228,66.847153,13.20088,2.091339,-0.081341,-0.000007,7.394196,2017.752441,2018.945923,12,40,0,0,2020.000122,2020,2131.875,0,-0.000167,246.889969,78.347099,0.066173,-2.327256,10473.74023,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.537668,4.010214,66.847145,14.302374,2.085647,-0.088851,-0.000007,7.408177,2014.875122,2016.068481,12,40,0,0,2020.000122,2020,2131.875,0,-0.000469,246.889969,79.491882,0.066222,-2.335698,10354.19727,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.537786,4.010204,66.847137,15.409495,2.080729,-0.071554,-0.000006,7.4128,2011.992188,2013.185669,12,40,0,0,2020.000122,2020,2131.875,0,-0.000167,246.889969,80.57547,0.066267,-2.343728,10234.41602,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.537905,4.010199,66.84713,16.521503,2.076592,-0.068797,-0.000006,7.414072,2009.1073,2010.300781,12,40,0,0,2010.000122,2010,2131.875,0,-0.000167,246.889969,81.596924,0.06631,-2.351365,10114.41406,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.538025,4.010198,66.847122,17.637579,2.073241,-0.066073,-0.000006,7.414139,2006.221802,2007.415161,12,40,0,0,2010.000122,2010,2131.875,0,-0.000201,246.889969,82.555466,0.066351,-2.358629,9994.191406,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.538145,4.010202,66.847107,18.756886,2.070678,-0.062987,-0.000005,7.413758,2003.335938,2004.529419,12,40,0,0,2010.000122,2010,2131.875,0,-0.000167,246.889969,83.450432,0.06639,-2.365537,9873.746094,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.538266,4.010211,66.847099,19.87858,2.068907,-0.059685,-0.000005,7.413195,2000.449951,2001.643433,12,40,0,0,2000.000122,2000,2131.875,0,-0.0001,246.889969,84.281303,0.066427,-2.372109,9753.073242,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.538346,4.01022,66.847092,20.627331,2.068168,-0.058104,-0.000005,7.412767,1998.526001,1999.71936,12,40,0,0,2000.000122,2000,2131.875,0,-0.000167,246.889969,84.799431,0.066452,-2.37631,9672.496094,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.538496,4.010237,66.847084,22.125944,2.067748,-0.053953,-0.000004,7.285059,1994.619629,1995.81311,12,40,0,0,2000.000122,2000,2131.875,0,-0.000167,246.889969,85.749428,0.066503,-2.384303,9510.661133,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.538597,4.010248,66.847076,23.249779,2.068362,-0.043539,-0.000003,7.37558,1991.77124,1992.964722,12,40,0,0,2000.000122,2000,2131.875,0,-0.000201,246.889969,86.38633,0.066537,-2.389957,9389.513672,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.538694,4.010257,66.847069,24.372505,2.069769,-0.041787,-0.000003,7.397869,1988.898315,1990.091797,12,40,0,0,1990.000122,1990,2131.875,0,-0.0001,246.889969,86.958443,0.066569,-2.395335,9267.958008,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.538787,4.010264,66.847061,25.493315,2.071971,-0.037356,-0.000002,7.405083,1986.016846,1987.210327,12,40,0,0,1990.000122,1990,2131.875,0,-0.000067,246.889969,87.465912,0.066599,-2.40045,9146.087891,0
